flight,airline,from,to,departure_time,arrival_time,status,delay
PK5922,Pakistan International Airlines,GVA,IST,2026-04-16T14:40:00+00:00,2026-04-16T18:55:00+00:00,scheduled,10.0
PK5862,Pakistan International Airlines,FCO,IST,2026-04-16T10:45:00+00:00,2026-04-16T14:35:00+00:00,active,20.0
PK246,Pakistan International Airlines,DMM,ISB,2026-04-16T17:15:00+00:00,2026-04-16T23:45:00+00:00,scheduled,165.0
PK212,Pakistan International Airlines,DXB,ISB,2026-04-16T19:00:00+00:00,2026-04-16T23:00:00+00:00,scheduled,120.0
PK5850,Pakistan International Airlines,ATH,IST,2026-04-16T15:40:00+00:00,2026-04-16T17:20:00+00:00,scheduled,
PK5952,Pakistan International Airlines,AMS,IST,2026-04-16T11:15:00+00:00,2026-04-16T15:45:00+00:00,scheduled,
PK5785,Pakistan International Airlines,IST,CPH,2026-04-16T16:00:00+00:00,2026-04-16T18:20:00+00:00,scheduled,
PK5334,Pakistan International Airlines,IST,GYD,2026-04-16T16:00:00+00:00,2026-04-16T19:50:00+00:00,scheduled,
PK5919,Pakistan International Airlines,IST,GVA,2026-04-16T15:55:00+00:00,2026-04-16T18:10:00+00:00,scheduled,
PK5007,Pakistan International Airlines,IST,IAD,2026-04-16T15:50:00+00:00,2026-04-16T19:50:00+00:00,scheduled,25.0
PK5005,Pakistan International Airlines,IST,ORD,2026-04-16T14:45:00+00:00,2026-04-16T18:15:00+00:00,scheduled,25.0
PK5191,Pakistan International Airlines,IST,DFW,2026-04-16T14:45:00+00:00,2026-04-16T19:35:00+00:00,scheduled,25.0
PK5031,Pakistan International Airlines,IST,ATL,2026-04-16T14:45:00+00:00,2026-04-16T19:45:00+00:00,scheduled,25.0
PK5997,Pakistan International Airlines,IST,LGW,2026-04-16T14:30:00+00:00,2026-04-16T16:40:00+00:00,scheduled,15.0
PK5009,Pakistan International Airlines,IST,LAX,2026-04-16T14:30:00+00:00,2026-04-16T18:15:00+00:00,scheduled,25.0
PK5969,Pakistan International Airlines,IST,BHX,2026-04-16T14:30:00+00:00,2026-04-16T16:40:00+00:00,scheduled,
PK5833,Pakistan International Airlines,IST,CDG,2026-04-16T14:10:00+00:00,2026-04-16T17:00:00+00:00,scheduled,
PK5033,Pakistan International Airlines,IST,IAH,2026-04-16T14:10:00+00:00,2026-04-16T19:10:00+00:00,scheduled,25.0
PK5001,Pakistan International Airlines,IST,JFK,2026-04-16T14:10:00+00:00,2026-04-16T17:55:00+00:00,scheduled,25.0
PK5931,Pakistan International Airlines,IST,LHR,2026-04-16T13:55:00+00:00,2026-04-16T16:00:00+00:00,scheduled,25.0
PK5865,Pakistan International Airlines,IST,FCO,2026-04-16T12:30:00+00:00,2026-04-16T14:10:00+00:00,active,10.0
PK5825,Pakistan International Airlines,IST,CDG,2026-04-16T12:25:00+00:00,2026-04-16T15:05:00+00:00,active,10.0
PK5982,Pakistan International Airlines,LGW,IST,2026-04-16T10:50:00+00:00,2026-04-16T16:50:00+00:00,scheduled,16.0
PK309,Pakistan International Airlines,ISB,KHI,2026-04-16T19:00:00+00:00,2026-04-16T20:55:00+00:00,scheduled,
PK8603,Pakistan International Airlines,DXB,ADD,2026-04-16T17:10:00+00:00,2026-04-16T20:35:00+00:00,scheduled,
PK648,Pakistan International Airlines,DMM,LHE,2026-04-16T17:00:00+00:00,2026-04-16T23:30:00+00:00,scheduled,
PK536,Pakistan International Airlines,KHI,SKZ,2026-04-16T19:00:00+00:00,2026-04-16T20:10:00+00:00,scheduled,
PK5913,Pakistan International Airlines,IST,ZRH,2026-04-16T12:20:00+00:00,2026-04-16T14:15:00+00:00,active,10.0
PK5781,Pakistan International Airlines,IST,CPH,2026-04-16T11:50:00+00:00,2026-04-16T14:05:00+00:00,active,20.0
PK5921,Pakistan International Airlines,IST,GVA,2026-04-16T11:30:00+00:00,2026-04-16T13:45:00+00:00,scheduled,
PK5895,Pakistan International Airlines,IST,MXP,2026-04-16T11:30:00+00:00,2026-04-16T13:20:00+00:00,scheduled,
PK5963,Pakistan International Airlines,IST,LGW,2026-04-16T11:05:00+00:00,2026-04-16T13:10:00+00:00,active,
PK5784,Pakistan International Airlines,CPH,IST,2026-04-16T10:25:00+00:00,2026-04-16T14:45:00+00:00,active,85.0
PK244,Pakistan International Airlines,DMM,LHE,2026-04-16T16:00:00+00:00,2026-04-16T22:45:00+00:00,scheduled,
PK5341,Pakistan International Airlines,GYD,IST,2026-04-16T16:50:00+00:00,2026-04-16T19:05:00+00:00,scheduled,10.0
PK5360,Pakistan International Airlines,MAD,IST,2026-04-16T07:40:00+00:00,2026-04-16T13:00:00+00:00,active,23.0
PK5852,Pakistan International Airlines,BCN,IST,2026-04-16T07:40:00+00:00,2026-04-16T12:10:00+00:00,active,
PK5896,Pakistan International Airlines,MXP,IST,2026-04-16T15:00:00+00:00,2026-04-16T19:00:00+00:00,scheduled,
PK5918,Pakistan International Airlines,GVA,IST,2026-04-16T10:30:00+00:00,2026-04-16T14:45:00+00:00,active,12.0
PK5964,Pakistan International Airlines,LGW,IST,2026-04-16T14:05:00+00:00,2026-04-16T20:00:00+00:00,scheduled,
PK504,Pakistan International Airlines,GWD,KHI,2026-04-16T16:20:00+00:00,2026-04-16T18:00:00+00:00,scheduled,
PK241,Pakistan International Airlines,KHI,DMM,2026-04-16T18:00:00+00:00,2026-04-16T20:15:00+00:00,scheduled,
PK5324,Pakistan International Airlines,BLQ,IST,2026-04-16T14:55:00+00:00,2026-04-16T18:35:00+00:00,scheduled,15.0
PK5831,Pakistan International Airlines,IST,CDG,2026-04-16T08:05:00+00:00,2026-04-16T10:50:00+00:00,active,14.0
PK5179,Pakistan International Airlines,IST,LAX,2026-04-16T08:00:00+00:00,2026-04-16T11:40:00+00:00,active,34.0
PK5853,Pakistan International Airlines,IST,BCN,2026-04-16T08:00:00+00:00,2026-04-16T10:45:00+00:00,active,38.0
PK5979,Pakistan International Airlines,IST,LHR,2026-04-16T07:50:00+00:00,2026-04-16T09:50:00+00:00,active,37.0
PK5907,Pakistan International Airlines,IST,ZRH,2026-04-16T07:50:00+00:00,2026-04-16T09:50:00+00:00,active,14.0
PK5323,Pakistan International Airlines,IST,BLQ,2026-04-16T12:20:00+00:00,2026-04-16T13:55:00+00:00,scheduled,
PK8602,Pakistan International Airlines,ADD,DXB,2026-04-16T10:30:00+00:00,2026-04-16T15:45:00+00:00,active,36.0
